Year,Round,Folder,Photos
2019,Round 1,Round 1/All,3931
2019,Round 2,Round 2/All,17664
2019,Round 3,Round 3/All,13910
2019,Round 4,Round 4/All_Team,13477
2019,Round 4,Round 4/All_Zooniverse,8291
2019,Round 4,Round 4/Zooniverse_2,849
2019,Round 4,Round 4/Zooniverse_3,233
2019,Round 4,Round 4/Zooniverse_Remainder,858
2020,Round 1,Round 1/All,6687
2020,Round 2,Round 2/All,2953
2021,AIM_vs_Snap Phase 1,batch_1/uploaded,3299
2021,AIM_vs_Snap Phase 1,batch_2/uploaded,2113
2021,AIM_vs_Snap Prebait,Prebait/All_AvS,2260
2021,Round 1,Round_1/All_R1,8629
2022,Processed,Processed/21-Oct-Upload,2171
2022,Processed,To upload,1018
